4 6
1 2 10
2 3 1000
3 4 10
4 1 1000
4 2 5000
1 3 2
2 9 
1 2 9
1 2 9
2 1 9
1 2 8
2 1 9
1 2 9
1 2 9
1 2 11
1 2 9
2 10
1 2 9
1 2 9
2 1 9
1 2 8
2 1 9
1 2 9
1 2 9
1 2 11
1 2 9
1 2 9
15 14
1 2 1
2 3 1
2 4 1
3 5 1
3 6 1
4 7 1
4 8 1
5 9 1
5 10 1
6 11 1
6 12 1
7 13 1
7 14 1
8 15 1
4 5
1 2 3
2 3 4
3 4 5
1 4 10
1 3 12
4 5
1 2 3
2 3 4
3 4 5
1 4 10
1 3 12
14 91
1 2 1
1 3 2
1 4 2
1 5 2
1 6 2
1 7 2
1 8 2
1 9 2
1 10 2
1 11 2
1 12 2
1 13 2
1 14 2
2 3 1
2 4 2
2 5 2
2 6 2
2 7 2
2 8 2
2 9 2
2 10 2
2 11 2
2 12 2
2 13 2
2 14 2
3 4 1
3 5 2
3 6 2
3 7 2
3 8 2
3 9 2
3 10 2
3 11 2
3 12 2
3 13 2
3 14 2
4 5 1
4 6 2
4 7 2
4 8 2
4 9 2
4 10 2
4 11 2
4 12 2
4 13 2
4 14 2
5 6 1
5 7 2
5 8 2
5 9 2
5 10 2
5 11 2
5 12 2
5 13 2
5 14 2
6 7 1
6 8 2
6 9 2
6 10 2
6 11 2
6 12 2
6 13 2
6 14 2
7 8 1
7 9 2
7 10 2
7 11 2
7 12 2
7 13 2
7 14 2
8 9 1
8 10 2
8 11 2
8 12 2
8 13 2
8 14 2
9 10 1
9 11 2
9 12 2
9 13 2
9 14 2
10 11 1
10 12 2
10 13 2
10 14 2
11 12 1
11 13 2
11 14 2
12 13 1
12 14 2
13 14 1
15 915
1 1 384
1 1 887
1 1 778
1 1 916
1 2 794
1 2 336
1 2 387
1 2 493
1 3 650
1 3 422
1 3 363
1 3 28
1 4 691
1 4 60
1 4 764
1 4 927
1 5 541
1 5 427
1 5 173
1 5 737
1 6 212
1 6 369
1 6 568
1 6 430
1 7 783
1 7 531
1 7 863
1 7 124
1 8 68
1 8 136
1 8 930
1 8 803
1 9 23
1 9 59
1 9 70
1 9 168
1 10 394
1 10 457
1 10 12
1 10 43
1 11 230
1 11 374
1 11 422
1 11 920
1 12 785
1 12 538
1 12 199
